1,10.224.73.246,Camara,Concentradora,Operaciones Concentradora
2,10.225.5.109,Camara,Padrones,DPI
3,10.225.5.80,Camara,Padrones,DPI
4,10.225.0.12,Camara,Romana,DPI
5,10.224.4.147,AP,Dique Mina,TICA
6,10.224.193.22,IMX,Espesadores,Confiabilidad
